SRF.NS,Chemicals
MOTHERSON.NS,Automobile and Auto Components
SHREECEM.NS,Construction Materials
SHRIRAMFIN.NS,Financial Services
ENRIN.NS,Capital Goods
SIEMENS.NS,Capital Goods
SOLARINDS.NS,Chemicals
SONACOMS.NS,Automobile and Auto Components
SBIN.NS,Financial Services
SAIL.NS,Metals & Mining
SUNPHARMA.NS,Healthcare
SUPREMEIND.NS,Capital Goods
SUZLON.NS,Capital Goods
SWIGGY.NS,Consumer Services
TVSMOTOR.NS,Automobile and Auto Components
TATACOMM.NS,Telecommunication
TCS.NS,Information Technology
TATACONSUM.NS,Fast Moving Consumer Goods
TATAELXSI.NS,Information Technology
TMPV.NS,Automobile and Auto Components
TATAPOWER.NS,Power
TATASTEEL.NS,Metals & Mining
TATATECH.NS,Information Technology
TECHM.NS,Information Technology
TITAN.NS,Consumer Durables
TORNTPHARM.NS,Healthcare
TORNTPOWER.NS,Power
TRENT.NS,Consumer Services
TIINDIA.NS,Automobile and Auto Components
UPL.NS,Chemicals
ULTRACEMCO.NS,Construction Materials
UNIONBANK.NS,Financial Services
UNITDSPR.NS,Fast Moving Consumer Goods
VBL.NS,Fast Moving Consumer Goods
VEDL.NS,Metals & Mining
VMM.NS,Consumer Services
IDEA.NS,Telecommunication
VOLTAS.NS,Consumer Durables
WAAREEENER.NS,Capital Goods
WIPRO.NS,Information Technology
YESBANK.NS,Financial Services
ZYDUSLIFE.NS,Healthcare
